"meter","woonplaats","straat","nummer","letter","postcode","geom"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant10","Julianadorp","Van Foreestweg",105,,"1787BH","POINT(4.74909 52.8983)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant11","Julianadorp","Kruiszwin",4325,,"1788RB","POINT(4.7405 52.8871)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant12","Julianadorp","Langevliet",64,"B","1788BG","POINT(4.75125 52.895)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant13","Julianadorp","Kersenhout",9,,"1787RD","POINT(4.75464 52.8809)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant14","Julianadorp","Wierbalg",2416,,"1788VH","POINT(4.73425 52.8881)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant15","Julianadorp","Doorzwin",4146,,"1788NN","POINT(4.74569 52.8881)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant16","Julianadorp","Kruiszwin",2201,,"1788LR","POINT(4.74271 52.8899)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant17","Julianadorp","Middelzand",4512,,"1788JJ","POINT(4.74195 52.8937)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant18","Julianadorp","Tuinbouwstraat",12,,"1787AP","POINT(4.75281 52.8941)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant19","Julianadorp","Kruiszwin",2279,,"1788LV","POINT(4.74277 52.8905)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant20","Julianadorp","Middelzand",4231,,"1788HS","POINT(4.74491 52.8941)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant21","Julianadorp","Doorzwin",3622,,"1788NJ","POINT(4.74655 52.8886)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant22","Julianadorp","Doorzwin",4189,,"1788NR","POINT(4.74752 52.8874)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant23","Julianadorp","Vogelzand",2629,,"1788GR","POINT(4.7416 52.8957)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant24","Julianadorp","Kruiszwin",3308,,"1788PG","POINT(4.73866 52.8896)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant25","Julianadorp","Wierbalg",2414,,"1788VH","POINT(4.73416 52.8879)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant27","Julianadorp","Kruiszwin",2233,,"1788LS","POINT(4.74412 52.8895)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant28","Julianadorp","Boterzwin",3226,,"1788WE","POINT(4.73944 52.8834)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant29","Julianadorp","Wierbalg",2304,,"1788VE","POINT(4.73339 52.8877)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant32","Julianadorp","Boterzwin",3606,,"1788WL","POINT(4.73886 52.8823)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant33","Julianadorp","Doorzwin",2637,,"1788KX","POINT(4.74776 52.8888)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant34","Julianadorp","Middelzand",2309,,"1788CE","POINT(4.74491 52.8974)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant35","Julianadorp","Middelzand",2925,,"1788CS","POINT(4.74691 52.8969)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant36","Julianadorp","Middelzand",5925,,"1788HM","POINT(4.74632 52.8935)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant37","Julianadorp","Meester J. Henderikxstraat",25,,"1788AX","POINT(4.75079 52.8928)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant38","Julianadorp","Kruiszwin",4531,,"1788RP","POINT(4.73927 52.8863)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant39","Julianadorp","Middelzand",2907,,"1788CR","POINT(4.74588 52.8968)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant4","Julianadorp","Wierbalg",1947,,"1788TC","POINT(4.73726 52.8879)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant41","Julianadorp","Van Foreestweg",27,,"1787BG","POINT(4.74373 52.8988)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant42","Julianadorp","Landbouwstraat",44,,"1787AM","POINT(4.75265 52.8937)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant42","Julianadorp","Landbouwstraat",44,,"1787AM","POINT(4.7527 52.8937)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant42","Julianadorp","Landbouwstraat",44,,"1787AM","POINT(4.7526 52.8937)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant42","Julianadorp","Landbouwstraat",44,,"1787AM","POINT(4.75276 52.8936)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant43","Julianadorp","Wierbalg",1926,,"1788TB","POINT(4.73638 52.888)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant44","Julianadorp","Wethouder W. de Boerstraat",12,,"1788AT","POINT(4.75026 52.8955)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant45","Julianadorp","Doorzwin",3317,,"1788NC","POINT(4.74539 52.8895)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant46","Julianadorp","Kruiszwin",5602,,"1788RZ","POINT(4.74283 52.8869)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant47","Julianadorp","Zwanenbalg",1718,,"1788ZG","POINT(4.73449 52.8852)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant49","Julianadorp","Wethouder W. de Boerstraat",12,,"1788AT","POINT(4.75026 52.8955)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant5","Julianadorp","Doorzwin",4248,,"1788NV","POINT(4.74532 52.8871)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant50","Julianadorp","Boterzwin",1309,,"1788WP","POINT(4.736 52.8848)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant51","Julianadorp","Landbouwstraat",36,,"1787AM","POINT(4.75333 52.8934)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant52","Julianadorp","Malzwin",1104,,"1788XA","POINT(4.74483 52.8835)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant53","Julianadorp","Middelzand",3360,,"1788EL","POINT(4.74452 52.8952)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant54","Julianadorp","Kruiszwin",2311,,"1788LW","POINT(4.74281 52.889)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant55","Breezand","Zandvaart ",190,"a","1764NZ","POINT(4.81911 52.8908)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant56","Julianadorp","Meester J. Henderikxstraat",22,,"1788AM","POINT(4.74937 52.8927)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant57","Julianadorp","Meester J. Henderikxstraat",79,,"1788AZ","POINT(4.74926 52.8938)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant58","Julianadorp","Middelzand",4532,,"1788JK","POINT(4.74287 52.8942)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant59","Julianadorp","Vlietstraat",5,,"1787AA","POINT(4.75214 52.8956)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant6","Julianadorp","Landbouwstraat",14,,"1787AL","POINT(4.75296 52.8953)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant60","Julianadorp","Vogelzand",2111,,"1788GL","POINT(4.74026 52.8951)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant61","Julianadorp","Vogelzand",3616,,"1788MH","POINT(4.73702 52.8943)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant62","Julianadorp","Kruiszwin",5511,,"1788RW","POINT(4.74381 52.887)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant63","Julianadorp","Vogelzand",2270,,"1788GD","POINT(4.73995 52.8985)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant64","Julianadorp","Wierbalg",1830,,"1788TZ","POINT(4.7327 52.8887)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant65","Julianadorp","Vogelzand",2202,,"1788GA","POINT(4.74059 52.8978)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant66","Julianadorp","Vogelzand",2640,,"1788GS","POINT(4.74105 52.8957)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant67","Julianadorp","Vogelzand",4260,,"1788MP","POINT(4.73531 52.8916)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant69","Julianadorp","Doorzwin",5347,,"1788SP","POINT(4.7459 52.8862)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant7","Julianadorp","Doorzwin",4155,,"1788NP","POINT(4.74491 52.8882)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant70","Julianadorp","Doorzwin",3623,,"1788NJ","POINT(4.74667 52.8886)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant71","Julianadorp","Parkstraat",2,,"1787AC","POINT(4.75219 52.8961)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant72","Julianadorp","Wierbalg",1202,,"1788TE","POINT(4.73628 52.889)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant73","Julianadorp","Malzwin",1436,,"1788XB","POINT(4.7477 52.885)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant77","Julianadorp","Meester J. Henderikxstraat",78,,"1788AN","POINT(4.74987 52.8931)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant78","Julianadorp","Wierbalg",1919,,"1788TA","POINT(4.73608 52.8883)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant79","Julianadorp","Schoolweg",34,,"1787AW","POINT(4.75578 52.8972)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant8","Julianadorp","Kruiszwin",3340,,"1788PH","POINT(4.73801 52.8901)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant81","Julianadorp","Kruiszwin",4323,,"1788RB","POINT(4.74049 52.887)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant82","Julianadorp","Kruiszwin",2121,,"1788LN","POINT(4.74114 52.8898)"
"http://lod.geodan.nl/cerise-sg/ebif/julianadorp/gmeter_klant9","Julianadorp","Kruiszwin",2103,,"1788LN","POINT(4.74204 52.8902)"
