STN,YYYYMMDD,HH,DD,FH,FF,FX,T,SQ,Q,DR,RH,P,N
210,20130201,1,240,80,80,130,67,0,0,0,0,10090,5
210,20130201,2,240,80,80,130,69,0,0,0,0,10086,7
210,20130201,3,230,80,70,120,68,0,0,0,0,10079,3
210,20130201,4,240,80,80,110,68,0,0,0,0,10070,3
210,20130201,5,240,80,90,130,72,0,0,0,0,10061,3
210,20130201,6,240,90,90,140,72,0,0,0,0,10054,6
210,20130201,7,230,80,80,110,74,0,0,0,0,10041,7
210,20130201,8,220,70,70,100,70,0,1,0,-1,10034,8
210,20130201,9,220,60,60,100,60,0,7,10,3,10025,8
210,20130201,10,200,50,40,80,53,0,14,10,8,10017,8
210,20130201,11,210,40,40,80,49,0,13,10,11,10006,8
210,20130201,12,230,30,30,60,50,0,14,10,13,9991,8
210,20130201,13,230,20,10,40,48,0,20,10,13,9975,8
210,20130201,14,240,10,10,30,48,0,19,9,4,9961,8
210,20130201,15,340,50,50,80,40,0,10,8,2,9960,8
210,20130201,16,360,40,30,60,37,0,8,10,2,9954,8
210,20130201,17,320,30,30,40,37,0,1,0,-1,9955,8
210,20130201,18,340,30,30,60,31,0,0,0,0,9956,3
210,20130201,19,310,30,20,40,32,0,0,0,0,9955,6
210,20130201,20,310,30,40,50,49,0,0,0,-1,9956,7
210,20130201,21,320,40,40,70,43,0,0,0,-1,9958,5
210,20130201,22,300,30,30,50,49,0,0,0,0,9963,8
210,20130201,23,300,40,30,120,46,0,0,2,5,9965,7
210,20130201,24,310,40,40,60,55,0,0,0,0,9970,8
210,20130202,1,300,40,40,60,50,0,0,0,0,9970,7
210,20130202,2,300,50,60,110,52,0,0,0,-1,9973,8
210,20130202,3,310,60,70,100,51,0,0,0,-1,9977,7
210,20130202,4,330,50,60,90,49,0,0,0,-1,9984,8
210,20130202,5,350,60,80,130,46,0,0,6,5,9996,8
210,20130202,6,10,110,90,190,35,0,0,3,1,10016,8
210,20130202,7,360,80,80,160,39,0,0,1,1,10034,7
210,20130202,8,360,70,90,140,44,0,2,0,-1,10053,6
210,20130202,9,360,90,80,140,44,2,24,0,0,10069,2
210,20130202,10,360,80,70,130,48,8,64,0,0,10080,2
210,20130202,11,20,80,80,140,29,8,74,1,3,10095,7
210,20130202,12,340,60,80,140,55,8,100,0,-1,10104,2
210,20130202,13,340,80,80,130,41,10,100,0,0,10113,5
210,20130202,14,350,80,80,120,54,7,66,0,-1,10121,4
210,20130202,15,330,80,80,130,47,8,61,0,0,10130,5
210,20130202,16,330,80,70,140,42,8,23,0,0,10138,2
210,20130202,17,340,80,80,120,44,0,2,0,0,10147,3
210,20130202,18,330,80,80,120,48,0,0,0,0,10152,8
210,20130202,19,320,80,80,120,48,0,0,0,0,10158,6
210,20130202,20,330,80,70,130,44,0,0,0,0,10163,3
210,20130202,21,340,70,50,130,43,0,0,0,-1,10165,1
210,20130202,22,340,60,60,90,48,0,0,0,0,10174,7
210,20130202,23,330,50,50,90,45,0,0,1,1,10180,8
210,20130202,24,350,50,40,100,43,0,0,0,-1,10183,7
210,20130203,1,330,50,50,80,47,0,0,0,0,10192,8
210,20130203,2,330,60,50,90,40,0,0,2,1,10195,7
210,20130203,3,330,50,50,120,42,0,0,0,-1,10196,6
210,20130203,4,330,50,50,70,42,0,0,0,0,10198,7
